.	0	3	7	16	23	28	34
.	0	1	6134	269306	321383	1482181	12236037
.	1	3	7	16	23	28	34
.	1	1	5720	171168	233466	1013616	12245252
.	2	3	7	16	23	28	34
.	2	1	11926	1023419	1295584	2581947	12244323
.	3	3	7	16	23	28	34	38
.	3	1	10386	880178	955899	1678983	3203412	12242027
.	4	3	7	16	23	28	34	38
.	4	1	3999	257500	286315	710487	2109736	12239444
.	5	3	7	16	23	28	34	38
.	5	1	22204	195631	246300	531635	1572896	12221073
.	6	3	7	16	23	28	34	38
.	6	1	22342	197429	241129	503334	1402786	12219192
.	7	3	7	16	23	28	34	38
.	7	1	22800	189447	233405	484319	1315912	12212216
.	8	3	7	16	23	28	34	38
.	8	1	21182	178964	221804	456380	1228904	12210884
.	9	3	7	16	23	28	34	38
.	9	1	20682	171957	215181	448409	1200271	12207921
.	10	3	7	16	23	28	34	38
.	10	1	20063	167522	211056	442323	1184657	12203972
.	11	3	7	16	23	28	34	38
.	11	1	20809	169927	215139	450483	1200628	12200773
.	12	3	7	16	23	28	34	38
.	12	1	25165	185244	236961	490246	1286618	12196582
.	13	3	7	16	23	28	34	38	41
.	13	1	24706	187529	240012	495217	1255946	3988508	12193604
.	14	3	7	16	23	28	34	38	41
.	14	1	23704	184177	236901	489584	1249230	3990998	12190020
.	15	3	7	16	23	28	34	38	41
.	15	1	23147	182013	235085	484912	1244690	3999595	12186527
.	16	3	7	16	23	28	34	38	41
.	16	1	25042	184181	239505	490291	1259565	4036635	12182912
.	17	3	7	16	23	28	34	38	41
.	17	1	24821	185065	243243	496227	1270095	4074369	12179170
.	18	3	7	16	23	28	34	38	41
.	18	1	25785	183641	244065	494998	1268974	3970241	12175302
.	19	3	7	16	23	28	34	38	41
.	19	1	26885	185420	248258	498721	1275911	3997026	12171656
.	20	3	7	16	23	28	34	38	41
.	20	1	28379	185997	252261	503409	1291543	4044735	12167831
.	21	3	7	16	23	28	34	38	41
.	21	1	29919	181630	251816	499566	1287488	4074393	12163974
.	22	3	7	16	23	28	34	38	41
.	22	1	31741	180320	254962	500054	1290982	4119978	12160100
.	23	3	7	16	23	28	34	38	41
.	23	1	33459	179265	258222	501989	1298213	4126987	12156065
.	24	3	7	16	23	28	34	38	41
.	24	1	36767	181939	266558	510978	1317552	4178815	12151843
.	25	3	7	16	23	28	34	38	41
.	25	1	39418	183313	270778	511694	1318790	4194246	12147631
.	26	3	7	16	23	28	34	38	41
.	26	1	42825	186288	281444	524274	1345986	4240088	12143199
.	27	3	7	16	23	28	34	38	41
.	27	1	44549	182548	281992	523670	1357538	4288709	12138673
.	28	3	7	16	23	28	34	38	41
